BACTERIAL_STRAIN_NAME	Curie	Name	Sample	Category	Xrefs	Supplier	Catalog/Product ID	Supplier_Catalog_id	Strain Name
CITKO 89189	NBT:89189CITKO	CITKO 89189	Blood	Quinolone S					
CITKO 89190.A	NBT:89190CITKO.A	CITKO 89190.A	Blood	Quinolone S					
CITKO 89190.B	NBT:89190CITKO.B	CITKO 89190.B	Blood	N/S					
CITKO 89649	NBT:89649CITKO	CITKO 89649	Blood	Quinolone S					
CITKO SS12763	NBT:SS12763CITKO	CITKO SS12763	Wound	Quinolone S					
CITKO SS13578	NBT:SS13578CITKO	CITKO SS13578	Wound	Quinolone S					
CITKO SS6646	NBT:SS6646CITKO	CITKO SS6646	Wound	N/S					
CITYO 68908	NBT:68908CITYO	CITYO 68908	Tissue	N/S					
CITYO SS13380	NBT:SS13380CITYO	CITYO SS13380	Wound	Quinolone S					
E.coli 39 isolate									
ENTEBU 84831	NBT:84831ENTEBU	ENTEBU 84831	Blood	Quinolone S					
ENTEBU 86397	NBT:86397ENTEBU	ENTEBU 86397	Blood	Quinolone S					
ENTEBU SS7585	NBT:SS7585ENTEBU	ENTEBU SS7585	Wound	Quinolone S					
ENTECL 68554									
ENTECL 71592	NBT:71592ENTECL	ENTECL 71592	Blood	N/S					
ENTECL 73581	NBT:73581ENTECL	ENTECL 73581	Tissue	N/S					
ENTECL 73910	NBT:73910ENTECL	ENTECL 73910	Blood	R Quinolone					
ENTECL 73968	NBT:73968ENTECL	ENTECL 73968	Tup	N/S					
ENTECL 76883	NBT:76883ENTECL	ENTECL 76883	Blood	CARBR					
ENTECL 78328	NBT:78328ENTECL	ENTECL 78328	Blood	ESBL					
ENTECL 78419	NBT:78419ENTECL	ENTECL 78419	Blood	N/S					
ENTECL 78880	NBT:78880ENTECL	ENTECL 78880	Blood	N/S					
ENTECL 78955	NBT:78955ENTECL	ENTECL 78955	Blood	ESBL					
ENTECL 79512	NBT:79512ENTECL	ENTECL 79512	Blood	N/S					
ENTECL 80703	NBT:80703ENTECL	ENTECL 80703	Blood	N/S					
ENTECL 83065	NBT:83065ENTECL	ENTECL 83065	Blood	ESBL					
ENTECL 83374	NBT:83374ENTECL	ENTECL 83374	Blood	Colistin R					
ENTECL 84588	NBT:84588ENTECL	ENTECL 84588	Blood	N/S					
ENTECL 86193	NBT:86193ENTECL	ENTECL 86193	Blood	Quinolone S					
ENTECL 86535	NBT:86535ENTECL	ENTECL 86535	Sputum	CARBR					
ENTECL 86546	NBT:86546ENTECL	ENTECL 86546	Blood	N/S					
ENTECL 86801	NBT:86801ENTECL	ENTECL 86801	Blood	Quinolone S					
ENTECL 87771	NBT:87771ENTECL	ENTECL 87771	Tissue	Quinolone S					
ENTECL 87840	NBT:87840ENTECL	ENTECL 87840	Blood	Quinolone S					
ENTECL 88061	NBT:88061ENTECL	ENTECL 88061	Blood	Quinolone S					
ENTECL 88154	NBT:88154ENTECL	ENTECL 88154	Blood	Quinolone S					
ENTECL 88222	NBT:88222ENTECL	ENTECL 88222	Blood	Quinolone S					
ENTECL 88828	NBT:88828ENTECL	ENTECL 88828	Blood	Quinolone S					
ENTECL 88944	NBT:88944ENTECL	ENTECL 88944	Blood	Quinolone S					
ENTECL 89317	NBT:89317ENTECL	ENTECL 89317	Blood	R Quinolone					
ENTECL 89427	NBT:89427ENTECL	ENTECL 89427	Blood	N/S					
ENTECL 89916	NBT:89916ENTECL	ENTECL 89916	Blood	Quinolone S					
ENTECL SS11603	NBT:SS11603ENTECL	ENTECL SS11603	Wound	Quinolone S					
